Address,Hood,Town,County,Zip,Lat,Lng,Walk Score,Bike Score,Transit Score
"Dancy St, Austin, TX 78722, USA",East Austin,Austin,Travis County,78722,30.287061,-97.721622,75,96,60
"Daniel Dr, Austin, TX 78704, USA",Bouldin Creek,Austin,Travis County,78704,30.2591657,-97.7551545,81,83,61
"David St, Austin, TX 78705, USA",Central Austin,Austin,Travis County,78705,30.2849095,-97.7505641,84,87,57
"Davis St, Austin, TX 78701, USA",Rainey Street Historic District,Austin,Travis County,78701,30.2602426,-97.7387655,91,95,59
"Dawson Rd, Austin, TX 78704, USA",Bouldin Creek,Austin,Travis County,78704,30.2586272,-97.7562353,81,73,59
"De Verne St, Austin, TX 78704, USA",Zilker,Austin,Travis County,78704,30.2492213,-97.7778674,82,83,46
"Deep Eddy Ave, Austin, TX 78703, USA",Westfield,Austin,Travis County,78703,30.2786064,-97.7719322,71,82,41
"Del Curto Rd, Austin, TX 78704, USA",South Lamar,Austin,Travis County,78704,30.2439412,-97.7768899,74,77,46
"Delcrest Dr, Austin, TX 78704, USA",South Lamar,Austin,Travis County,78704,30.245492,-97.7749811,85,83,46
"Depew Ave, Austin, TX 78751, USA",North Loop,Austin,Travis County,78751,30.3084553,-97.7160871,85,94,51
"Devon Cir, Austin, TX 78723, USA",Windsor Park,Austin,Travis County,78723,30.314823,-97.6952398,71,75,45
"Dexter St, Austin, TX 78704, USA",Zilker,Austin,Travis County,78704,30.2579194,-97.7669583,75,86,44
"Dickson Dr, Austin, TX 78704, USA",Zilker,Austin,Travis County,78704,30.2456628,-97.7803173,83,84,46
"Doris Dr, Austin, TX 78757, USA",Wooten,Austin,Travis County,78757,30.3635982,-97.7263991,71,77,50
"Drake Ave, Austin, TX 78704, USA",Greater South River City,Austin,Travis County,78704,30.247052,-97.747504,92,87,53
"Driskill St, Austin, TX 78701, USA",Rainey Street Historic District,Austin,Travis County,78701,30.2609233,-97.7379786,92,95,60
"Drury Ln, Austin, TX 78722, USA",Cherrywood,Austin,Travis County,78722,30.2857631,-97.7215084,75,96,60
"Dryfield Dr, Austin, TX 78758, USA",North Austin Civic Association,Austin,Travis County,78758,30.359542,-97.7136434,77,74,47
"Duke Ave, Austin, TX 78757, USA",Crestview,Austin,Travis County,78757,30.3525254,-97.7255369,83,84,50
"Dunbury Dr, Austin, TX 78723, USA",Windsor Park,Austin,Travis County,78723,30.314707,-97.6937588,72,80,45
"Duncan Ln, Austin, TX 78705, USA",Central Austin,Austin,Travis County,78705,30.2917923,-97.7240853,80,92,60
"Durwood St, Austin, TX 78704, USA",UnknownHood,Austin,Travis County,78704,30.2409471,-97.7582219,93,71,51
"Duval St, Austin, TX 78751, USA",UnknownHood,Austin,Travis County,78751,30.3087391,-97.7234836,80,92,54
"Duval St, Austin, TX 78752, USA",UnknownHood,Austin,Travis County,78752,30.3142291,-97.7199367,75,96,53
"Dwyce Dr, Austin, TX 78757, USA",Brentwood,Austin,Travis County,78757,30.3397604,-97.7269381,74,88,54
